Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
0.0,1.11,0.0,1.06,0.0,1.05,0.0,1.03,0.0,1.12,0.0,1.07,0.0,1.02,0.0,1.01,0.0,1.02,0.0,0.93
0.02,1.1,0.02,1.05,0.02,1.04,0.02,1.02,0.02,1.11,0.02,1.06,0.02,1.01,0.02,1.0,0.02,1.01,0.02,0.92
0.04,1.1,0.04,1.05,0.04,1.04,0.04,1.02,0.04,1.11,0.04,1.05,0.04,1.01,0.04,1.0,0.04,1.01,0.04,0.92
0.06,1.1,0.06,1.05,0.06,1.03,0.06,1.02,0.06,1.1,0.06,1.04,0.06,1.01,0.06,1.0,0.06,1.0,0.06,0.91
0.08,1.1,0.08,1.05,0.08,1.02,0.08,1.01,0.08,1.09,0.08,1.03,0.08,1.0,0.08,1.01,0.08,1.0,0.08,0.91
0.1,1.1,0.1,1.05,0.1,1.01,0.1,1.01,0.1,1.07,0.1,1.01,0.1,0.99,0.1,1.0,0.1,0.99,0.1,0.9
0.12,1.09,0.12,1.05,0.12,0.99,0.12,1.0,0.12,1.05,0.12,0.99,0.12,0.98,0.12,0.99,0.12,0.98,0.12,0.89
0.14,1.08,0.14,1.05,0.14,0.97,0.14,0.99,0.14,1.04,0.14,0.98,0.14,0.97,0.14,0.99,0.14,0.97,0.14,0.89
0.16,1.06,0.16,1.05,0.16,0.95,0.16,0.97,0.16,1.02,0.16,0.96,0.16,0.95,0.16,0.98,0.16,0.96,0.16,0.87
0.18,1.04,0.18,1.05,0.18,0.93,0.18,0.95,0.18,0.99,0.18,0.93,0.18,0.93,0.18,0.96,0.18,0.94,0.18,0.86
0.2,1.02,0.2,1.05,0.2,0.9,0.2,0.93,0.2,0.97,0.2,0.91,0.2,0.91,0.2,0.95,0.2,0.93,0.2,0.85
0.22,1.0,0.22,1.04,0.22,0.87,0.22,0.91,0.22,0.94,0.22,0.89,0.22,0.9,0.22,0.94,0.22,0.92,0.22,0.84
0.24,0.98,0.24,1.03,0.24,0.85,0.24,0.88,0.24,0.92,0.24,0.86,0.24,0.87,0.24,0.92,0.24,0.91,0.24,0.83
0.26,0.95,0.26,1.02,0.26,0.81,0.26,0.86,0.26,0.89,0.26,0.83,0.26,0.85,0.26,0.91,0.26,0.89,0.26,0.82
0.28,0.92,0.28,1.0,0.28,0.78,0.28,0.83,0.28,0.86,0.28,0.8,0.28,0.83,0.28,0.89,0.28,0.87,0.28,0.81
0.3,0.89,0.3,0.99,0.3,0.75,0.3,0.8,0.3,0.83,0.3,0.77,0.3,0.81,0.3,0.87,0.3,0.86,0.3,0.8
0.32,0.85,0.32,0.97,0.32,0.71,0.32,0.77,0.32,0.79,0.32,0.74,0.32,0.78,0.32,0.86,0.32,0.83,0.32,0.79
0.34,0.82,0.34,0.95,0.34,0.67,0.34,0.74,0.34,0.76,0.34,0.7,0.34,0.75,0.34,0.84,0.34,0.82,0.34,0.78
0.36,0.78,0.36,0.92,0.36,0.63,0.36,0.7,0.36,0.72,0.36,0.67,0.36,0.73,0.36,0.82,0.36,0.8,0.36,0.77
0.38,0.74,0.38,0.89,0.38,0.59,0.38,0.68,0.38,0.69,0.38,0.63,0.38,0.7,0.38,0.8,0.38,0.78,0.38,0.76
