Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
0.0,0.97,0.0,0.98,0.0,0.9,0.0,0.9,0.0,0.87,0.0,1.0,0.0,0.93,0.0,0.92,0.0,0.8,0.0,0.86
0.02,0.96,0.02,0.97,0.02,0.89,0.02,0.89,0.02,0.86,0.02,0.99,0.02,0.92,0.02,0.91,0.02,0.79,0.02,0.85
0.04,0.96,0.04,0.97,0.04,0.89,0.04,0.89,0.04,0.86,0.04,0.99,0.04,0.92,0.04,0.91,0.04,0.79,0.04,0.85
0.06,0.96,0.06,0.96,0.06,0.89,0.06,0.89,0.06,0.86,0.06,0.98,0.06,0.91,0.06,0.91,0.06,0.79,0.06,0.85
0.08,0.96,0.08,0.96,0.08,0.89,0.08,0.89,0.08,0.85,0.08,0.97,0.08,0.91,0.08,0.9,0.08,0.8,0.08,0.84
0.1,0.95,0.1,0.96,0.1,0.89,0.1,0.89,0.1,0.85,0.1,0.97,0.1,0.9,0.1,0.89,0.1,0.8,0.1,0.84
0.12,0.94,0.12,0.95,0.12,0.87,0.12,0.89,0.12,0.84,0.12,0.96,0.12,0.89,0.12,0.89,0.12,0.8,0.12,0.83
0.14,0.94,0.14,0.94,0.14,0.87,0.14,0.89,0.14,0.83,0.14,0.95,0.14,0.89,0.14,0.88,0.14,0.8,0.14,0.82
0.16,0.93,0.16,0.93,0.16,0.86,0.16,0.89,0.16,0.83,0.16,0.94,0.16,0.88,0.16,0.87,0.16,0.79,0.16,0.82
0.18,0.93,0.18,0.93,0.18,0.85,0.18,0.89,0.18,0.82,0.18,0.94,0.18,0.87,0.18,0.87,0.18,0.79,0.18,0.81
0.2,0.92,0.2,0.92,0.2,0.84,0.2,0.89,0.2,0.82,0.2,0.93,0.2,0.86,0.2,0.86,0.2,0.78,0.2,0.8
0.22,0.91,0.22,0.91,0.22,0.84,0.22,0.89,0.22,0.81,0.22,0.92,0.22,0.86,0.22,0.85,0.22,0.78,0.22,0.79
0.24,0.9,0.24,0.91,0.24,0.83,0.24,0.89,0.24,0.8,0.24,0.91,0.24,0.85,0.24,0.84,0.24,0.77,0.24,0.78
0.26,0.89,0.26,0.9,0.26,0.82,0.26,0.89,0.26,0.8,0.26,0.9,0.26,0.84,0.26,0.83,0.26,0.77,0.26,0.77
0.28,0.89,0.28,0.89,0.28,0.81,0.28,0.89,0.28,0.79,0.28,0.9,0.28,0.83,0.28,0.82,0.28,0.76,0.28,0.77
0.3,0.88,0.3,0.89,0.3,0.81,0.3,0.89,0.3,0.78,0.3,0.89,0.3,0.82,0.3,0.81,0.3,0.76,0.3,0.76
0.32,0.87,0.32,0.89,0.32,0.8,0.32,0.89,0.32,0.77,0.32,0.88,0.32,0.81,0.32,0.8,0.32,0.75,0.32,0.75
0.34,0.86,0.34,0.86,0.34,0.79,0.34,0.89,0.34,0.76,0.34,0.87,0.34,0.8,0.34,0.79,0.34,0.74,0.34,0.74
0.36,0.85,0.36,0.85,0.36,0.77,0.36,0.89,0.36,0.75,0.36,0.86,0.36,0.79,0.36,0.78,0.36,0.74,0.36,0.73
0.38,0.84,0.38,0.84,0.38,0.76,0.38,0.89,0.38,0.74,0.38,0.85,0.38,0.78,0.38,0.77,0.38,0.73,0.38,0.72
0.4,0.82,0.4,0.83,0.4,0.76,0.4,0.89,0.4,0.73,0.4,0.85,0.4,0.77,0.4,0.76,0.4,0.72,0.4,0.71
0.42,0.81,0.42,0.82,0.42,0.75,0.42,0.89,0.42,0.72,0.42,0.84,0.42,0.76,0.42,0.75,0.42,0.71,0.42,0.7
0.44,0.8,0.44,0.81,0.44,0.73,0.44,0.89,0.44,0.7,0.44,0.83,0.44,0.75,0.44,0.74,0.44,0.7,0.44,0.69
0.46,0.79,0.46,0.79,0.46,0.72,0.46,0.89,0.46,0.69,0.46,0.82,0.46,0.73,0.46,0.73,0.46,0.7,0.46,0.68
0.48,0.78,0.48,0.78,0.48,0.71,0.48,0.88,0.48,0.68,0.48,0.81,0.48,0.73,0.48,0.71,0.48,0.69,0.48,0.67
0.5,0.77,0.5,0.77,0.5,0.7,0.5,0.88,0.5,0.7,0.5,0.8,0.5,0.71,0.5,0.7,0.5,0.67,0.5,0.66
0.52,0.76,0.52,0.76,0.52,0.69,0.52,0.87,0.52,0.66,0.52,0.79,0.52,0.7,0.52,0.69,0.52,0.66,0.52,0.65
0.54,0.75,0.54,0.75,0.54,0.67,0.54,0.87,0.54,0.65,0.54,0.77,0.54,0.69,0.54,0.68,0.54,0.65,0.54,0.64
0.56,0.73,0.56,0.73,0.56,0.66,0.56,0.87,0.56,0.64,0.56,0.77,0.56,0.71,0.56,0.67,0.56,0.64,0.56,0.63
0.58,0.72,0.58,0.72,0.58,0.65,0.58,0.86,0.58,0.63,0.58,0.76,0.58,0.66,0.58,0.65,0.58,0.64,0.58,0.61
0.6,0.71,0.6,0.71,0.6,0.64,0.6,0.85,0.6,0.61,0.6,0.74,0.6,0.65,0.6,0.64,0.6,0.63,0.6,0.6
0.62,0.7,0.62,0.7,0.62,0.62,0.62,0.84,0.62,0.6,0.62,0.73,0.62,0.64,0.62,0.63,0.62,0.61,0.62,0.59
0.64,0.68,0.64,0.68,0.64,0.61,0.64,0.84,0.64,0.59,0.64,0.72,0.64,0.62,0.64,0.61,0.64,0.6,0.64,0.58
0.66,0.67,0.66,0.67,0.66,0.6,0.66,0.83,0.66,0.58,0.66,0.7,0.66,0.61,0.66,0.6,0.66,0.59,0.66,0.56
0.68,0.66,0.68,0.66,0.68,0.58,0.68,0.82,0.68,0.57,0.68,0.69,0.68,0.6,0.68,0.59,0.68,0.58,0.68,0.55
0.7000000000000001,0.65,0.7000000000000001,0.65,0.7000000000000001,0.57,0.7000000000000001,0.81,0.7000000000000001,0.55,0.7000000000000001,0.68,0.7000000000000001,0.59,0.7000000000000001,0.57,0.7000000000000001,0.57,0.7000000000000001,0.54
0.72,0.63,0.72,0.63,0.72,0.56,0.72,0.8,0.72,0.54,0.72,0.67,0.72,0.57,0.72,0.56,0.72,0.55,0.72,0.53
0.74,0.62,0.74,0.62,0.74,0.55,0.74,0.8,0.74,0.53,0.74,0.65,0.74,0.56,0.74,0.54,0.74,0.54,0.74,0.51
0.76,0.61,0.76,0.61,0.76,0.54,0.76,0.79,0.76,0.51,0.76,0.64,0.76,0.55,0.76,0.53,0.76,0.53,0.76,0.5
0.78,0.59,0.78,0.61,0.78,0.52,0.78,0.78,0.78,0.5,0.78,0.63,0.78,0.53,0.78,0.51,0.78,0.52,0.78,0.49
0.8,0.58,0.8,0.59,0.8,0.51,0.8,0.77,0.8,0.49,0.8,0.61,0.8,0.52,0.8,0.5,0.8,0.51,0.8,0.47
0.8200000000000001,0.56,0.8200000000000001,0.57,0.8200000000000001,0.49,0.8200000000000001,0.76,0.8200000000000001,0.47,0.8200000000000001,0.6,0.8200000000000001,0.51,0.8200000000000001,0.48,0.8200000000000001,0.5,0.8200000000000001,0.46
0.84,0.55,0.84,0.56,0.84,0.48,0.84,0.75,0.84,0.46,0.84,0.59,0.84,0.49,0.84,0.47,0.84,0.48,0.84,0.45
0.86,0.53,0.86,0.55,0.86,0.47,0.86,0.73,0.86,0.44,0.86,0.57,0.86,0.48,0.86,0.45,0.86,0.47,0.86,0.43
0.88,0.52,0.88,0.53,0.88,0.45,0.88,0.72,0.88,0.43,0.88,0.56,0.88,0.46,0.88,0.44,0.88,0.46,0.88,0.42
0.9,0.5,0.9,0.52,0.9,0.44,0.9,0.71,0.9,0.41,0.9,0.55,0.9,0.45,0.9,0.42,0.9,0.44,0.9,0.41
0.92,0.49,0.92,0.5,0.92,0.43,0.92,0.7,0.92,0.4,0.92,0.53,0.92,0.44,0.92,0.41,0.92,0.43,0.92,0.39
0.9400000000000001,0.47,0.9400000000000001,0.49,0.9400000000000001,0.42,0.9400000000000001,0.69,0.9400000000000001,0.39,0.9400000000000001,0.52,0.9400000000000001,0.42,0.9400000000000001,0.39,0.9400000000000001,0.42,0.9400000000000001,0.38
0.96,0.46,0.96,0.48,0.96,0.41,0.96,0.67,0.96,0.37,0.96,0.5,0.96,0.41,0.96,0.38,0.96,0.4,0.96,0.37
0.98,0.44,0.98,0.47,0.98,0.39,0.98,0.66,0.98,0.36,0.98,0.49,0.98,0.4,0.98,0.36,0.98,0.39,0.98,0.36
1.0,0.43,1.0,0.45,1.0,0.38,1.0,0.65,1.0,0.34,1.0,0.47,1.0,0.38,1.0,0.35,1.0,0.38,1.0,0.34
1.02,0.41,1.02,0.44,1.02,0.37,1.02,0.63,1.02,0.33,1.02,0.46,1.02,0.37,1.02,0.33,1.02,0.36,1.02,0.33
1.04,0.4,1.04,0.42,1.04,0.35,1.04,0.62,1.04,0.32,1.04,0.45,1.04,0.35,1.04,0.32,1.04,0.35,1.04,0.32
1.06,0.38,1.06,0.41,1.06,0.34,1.06,0.61,1.06,0.3,1.06,0.43,1.06,0.34,1.06,0.31,1.06,0.33,1.06,0.3
1.08,0.37,1.08,0.4,1.08,0.33,1.08,0.59,1.08,0.29,1.08,0.42,1.08,0.32,1.08,0.29,1.08,0.32,1.08,0.29
1.1,0.35,1.1,0.38,1.1,0.32,1.1,0.58,1.1,0.27,1.1,0.4,1.1,0.31,1.1,0.27,1.1,0.31,1.1,0.28
1.12,0.34,1.12,0.37,1.12,0.3,1.12,0.57,1.12,0.26,1.12,0.39,1.12,0.3,1.12,0.26,1.12,0.29,1.12,0.27
1.1400000000000001,0.32,1.1400000000000001,0.36,1.1400000000000001,0.29,1.1400000000000001,0.55,1.1400000000000001,0.24,1.1400000000000001,0.38,1.1400000000000001,0.28,1.1400000000000001,0.24,1.1400000000000001,0.28,1.1400000000000001,0.25
1.16,0.31,1.16,0.34,1.16,0.28,1.16,0.54,1.16,0.23,1.16,0.36,1.16,0.27,1.16,0.23,1.16,0.27,1.16,0.24
1.18,0.29,1.18,0.33,1.18,0.27,1.18,0.52,1.18,0.21,1.18,0.35,1.18,0.25,1.18,0.21,1.18,0.25,1.18,0.23
1.2,0.28,1.2,0.32,1.2,0.28,1.2,0.51,1.2,0.2,1.2,0.34,1.2,0.24,1.2,0.19,1.2,0.23,1.2,0.25
1.22,0.26,1.22,0.3,1.22,0.26,1.22,0.49,1.22,0.19,1.22,0.33,1.22,0.22,1.22,0.18,1.22,0.22,1.22,0.25
1.24,0.24,1.24,0.29,1.24,0.25,1.24,0.48,1.24,0.17,1.24,0.31,1.24,0.21,1.24,0.16,1.24,0.2,1.24,0.22
1.26,0.23,1.26,0.27,1.26,0.24,1.26,0.46,1.26,0.16,1.26,0.3,1.26,0.19,1.26,0.15,1.26,0.19,1.26,0.2
1.28,0.21,1.28,0.26,1.28,0.21,1.28,0.45,1.28,0.14,1.28,0.29,1.28,0.18,1.28,0.13,1.28,0.17,1.28,0.19
1.3,0.2,1.3,0.25,1.3,0.19,1.3,0.44,1.3,0.13,1.3,0.27,1.3,0.16,1.3,0.12,1.3,0.15,1.3,0.17
1.32,0.18,1.32,0.23,1.32,0.17,1.32,0.42,1.32,0.12,1.32,0.25,1.32,0.15,1.32,,1.32,0.14,1.32,0.16
1.34,0.16,1.34,0.22,1.34,0.16,1.34,0.41,1.34,0.12,1.34,0.24,1.34,0.13,1.34,,1.34,0.12,1.34,0.14
1.36,0.15,1.36,0.2,1.36,0.14,1.36,0.39,1.36,0.13,1.36,0.23,1.36,0.12,1.36,,1.36,0.12,1.36,0.13
1.3800000000000001,0.14,1.3800000000000001,0.19,1.3800000000000001,0.13,1.3800000000000001,0.38,1.3800000000000001,0.12,1.3800000000000001,0.21,1.3800000000000001,0.12,1.3800000000000001,,1.3800000000000001,0.12,1.3800000000000001,0.13
1.4000000000000001,0.13,1.4000000000000001,0.18,1.4000000000000001,0.11,1.4000000000000001,0.36,1.4000000000000001,0.12,1.4000000000000001,0.2,1.4000000000000001,0.12,1.4000000000000001,,1.4000000000000001,0.1,1.4000000000000001,0.13
1.42,0.13,1.42,0.16,1.42,,1.42,0.35,1.42,0.1,1.42,0.19,1.42,0.12,1.42,,1.42,,1.42,0.13
1.44,0.12,1.44,0.15,1.44,,1.44,0.33,1.44,,1.44,0.17,1.44,0.12,1.44,,1.44,,1.44,0.11
1.46,0.12,1.46,0.13,1.46,,1.46,0.32,1.46,,1.46,0.16,1.46,0.1,1.46,,1.46,,1.46,
1.48,0.1,1.48,0.12,1.48,,1.48,0.3,1.48,,1.48,0.14,1.48,,1.48,,1.48,,1.48,
