Run,Time,Position,Velocity
1,0.02,1.11,-0.04
1,0.04,1.11,-0.02
1,0.06,1.11,0.0
1,0.08,1.11,0.0
1,0.1,1.11,0.0
1,0.12,1.11,-0.000973
1,0.14,1.11,0.0
1,0.16,1.11,-0.01
1,0.18,1.11,-0.02
1,0.2,1.1,-0.03
1,0.22,1.1,-0.05
1,0.24,1.1,-0.08
1,0.26,1.1,-0.16
1,0.28,1.1,-0.32
1,0.3,1.09,-0.52
1,0.32,1.08,-0.7
1,0.34,1.06,-0.82
1,0.36,1.04,-0.92
1,0.38,1.02,-1.05
1,0.4,1.0,-1.18
1,0.42,0.98,-1.3
1,0.44,0.95,-1.42
1,0.46,0.92,-1.54
1,0.48,0.89,-1.62
1,0.5,0.85,-1.72
1,0.52,0.82,-1.84
1,0.54,0.78,-1.97
1,0.56,0.74,-2.07
1,0.58,0.7,-2.15
1,0.6,0.65,-2.26
1,0.62,0.61,-2.35
1,0.64,0.56,-2.44
1,0.66,0.51,-2.51
1,0.68,0.46,-2.58
1,0.7,0.41,-2.64
1,0.72,0.35,-2.7
1,0.74,0.3,-2.75
1,0.76,0.24,-2.81
1,0.78,0.19,-2.64
1,0.8,0.13,22.71
1,0.82,0.1,32.22
2,0.02,1.05,-0.07
2,0.04,1.05,0.01
2,0.06,1.05,0.04
2,0.08,1.05,0.02
2,0.1,1.05,0.01
2,0.12,1.05,-0.01
2,0.14,1.05,-0.04
2,0.16,1.05,-0.1
2,0.18,1.05,-0.18
2,0.2,1.05,-0.28
2,0.22,1.04,-0.41
2,0.24,1.03,-0.54
2,0.26,1.02,-0.66
2,0.28,1.0,-0.78
2,0.3,0.99,-0.92
2,0.32,0.97,-1.05
2,0.34,0.95,-1.18
2,0.36,0.92,-1.29
2,0.38,0.89,-1.39
2,0.4,0.86,-1.47
2,0.42,0.83,-1.56
2,0.44,0.8,-1.66
2,0.46,0.77,-1.76
2,0.48,0.73,-1.86
2,0.5,0.69,-1.95
2,0.52,0.65,-2.04
2,0.54,0.61,-2.12
2,0.56,0.57,-2.2
2,0.58,0.52,-2.28
2,0.6,0.48,-2.36
2,0.62,0.43,-2.43
2,0.64,0.38,-2.5
2,0.66,0.33,-2.56
2,0.68,0.28,-2.59
2,0.7,0.23,-2.54
2,0.72,0.17,-2.34
2,0.74,0.13,25.29
2,0.76,0.09,34.26
3,0.02,1.05,-0.01
3,0.04,1.05,-0.01
3,0.06,1.05,0.0
3,0.08,1.05,0.0
3,0.1,1.05,0.0
3,0.12,1.05,0.0
3,0.14,1.05,0.0
3,0.16,1.05,0.0
3,0.18,1.05,-0.05
3,0.2,1.05,-0.14
3,0.22,1.04,-0.24
3,0.24,1.04,-0.35
3,0.26,1.03,-0.46
3,0.28,1.02,-0.6
3,0.3,1.01,-0.73
3,0.32,0.99,-0.85
3,0.34,0.97,-0.97
3,0.36,0.95,-1.09
3,0.38,0.93,-1.2
3,0.4,0.9,-1.31
3,0.42,0.87,-1.41
3,0.44,0.85,-1.51
3,0.46,0.81,-1.61
3,0.48,0.78,-1.7
3,0.5,0.75,-1.79
3,0.52,0.71,-1.88
3,0.54,0.67,-1.96
3,0.56,0.63,-2.05
3,0.58,0.59,-2.13
3,0.6,0.55,-2.21
3,0.62,0.5,-2.28
3,0.64,0.45,-2.35
3,0.66,0.41,-2.41
3,0.68,0.36,-2.48
3,0.7,0.31,-2.54
3,0.72,0.26,-2.61
3,0.74,0.2,-2.42
3,0.76,0.15,-1.76
3,0.78,0.12,-0.63
4,0.02,1.03,-0.03
4,0.04,1.03,-0.01
4,0.06,1.03,-0.01
4,0.08,1.03,-0.04
4,0.1,1.02,-0.08
4,0.12,1.02,-0.13
4,0.14,1.02,-0.2
4,0.16,1.01,-0.29
4,0.18,1.01,-0.41
4,0.2,1.0,-0.57
4,0.22,0.99,-0.73
4,0.24,0.97,-0.86
4,0.26,0.95,-0.93
4,0.28,0.93,-1.02
4,0.3,0.91,-1.18
4,0.32,0.88,-1.34
4,0.34,0.86,-1.41
4,0.36,0.83,-1.41
4,0.38,0.8,-1.47
4,0.4,0.77,-1.59
4,0.42,0.74,-1.58
4,0.44,0.7,-1.65
4,0.46,0.68,-1.82
4,0.48,0.63,-2.03
4,0.5,0.59,-2.15
4,0.52,0.55,-2.11
4,0.54,0.5,-2.17
4,0.56,0.46,-2.21
4,0.58,0.42,-2.27
4,0.6,0.37,-2.33
4,0.62,0.32,-2.38
4,0.64,0.27,-2.41
4,0.66,0.23,-2.45
4,0.68,0.18,-2.49
5,0.02,1.12,-0.02
5,0.04,1.12,-0.01
5,0.06,1.12,0.0
5,0.08,1.12,-0.01
5,0.1,1.12,-0.06
5,0.12,1.12,-0.13
5,0.14,1.12,-0.21
5,0.16,1.11,-0.31
5,0.18,1.11,-0.42
5,0.2,1.1,-0.55
