"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11"
0.000,1.11,,,0.000,1.06,,,0.000,1.05,,,0.000,1.03,,,0.000,1.13,,,0.000,1.07,,,0.000,1.02,,,0.000,1.01,,,0.000,1.02,,,0.000,0.94,,
0.020,1.11,-0.04,,0.020,1.05,-0.07,,0.020,1.05,-0.01,,0.020,1.03,-0.03,,0.020,1.12,-0.02,,0.020,1.07,-0.08,,0.020,1.02,-0.01,,0.020,1.00,-0.06,,0.020,1.02,0.03,,0.020,0.94,-0.04,
0.040,1.11,-0.02,0.92,0.040,1.05,0.01,2.69,0.040,1.05,-0.01,0.40,0.040,1.03,-0.01,0.36,0.040,1.12,-0.01,0.40,0.040,1.07,-0.03,1.79,0.040,1.02,0.00,0.34,0.040,1.00,0.03,2.00,0.040,1.02,0.00,-2.22,0.040,0.93,-0.02,0.89
0.060,1.11,0.00,0.49,0.060,1.05,0.04,0.77,0.060,1.05,0.00,0.22,0.060,1.03,-0.01,-0.65,0.060,1.12,0.00,-0.36,0.060,1.07,-0.01,1.24,0.060,1.02,0.00,0.09,0.060,1.00,0.02,-2.97,0.060,1.02,-0.06,-2.48,0.060,0.93,-0.01,0.41
0.080,1.11,0.00,0.16,0.080,1.05,0.02,-0.38,0.080,1.05,0.00,0.11,0.080,1.03,-0.04,-1.54,0.080,1.12,-0.01,-1.47,0.080,1.07,0.01,0.50,0.080,1.02,0.00,-0.06,0.080,1.01,-0.12,-5.90,0.080,1.02,-0.13,-2.06,0.080,0.93,-0.01,0.01
0.100,1.11,0.00,-0.03,0.100,1.05,0.01,-0.87,0.100,1.05,0.00,0.03,0.100,1.02,-0.08,-2.29,0.100,1.12,-0.06,-2.70,0.100,1.07,0.03,-1.56,0.100,1.02,-0.01,-0.20,0.100,1.00,-0.27,-6.17,0.100,1.02,-0.13,-2.06,0.100,0.93,-0.01,-0.42
0.120,1.11,-9.73E-4,-0.14,0.120,1.05,-0.01,-1.36,0.120,1.05,0.00,-0.08,0.120,1.02,-0.13,-3.11,0.120,1.12,-0.13,-3.73,0.120,1.07,-0.01,-5.01,0.120,1.02,-0.01,-0.61,0.120,0.99,-0.39,-4.79,0.120,1.01,-0.17,-3.06,0.120,0.93,-0.02,-0.95
0.140,1.11,0.00,-0.25,0.140,1.05,-0.04,-2.28,0.140,1.05,0.00,-0.56,0.140,1.02,-0.20,-4.15,0.140,1.12,-0.21,-4.51,0.140,1.07,-0.18,-7.79,0.140,1.02,-0.02,-1.30,0.140,0.99,-0.45,-3.55,0.140,1.01,-0.27,-4.18,0.140,0.93,-0.05,-1.10
0.160,1.11,-0.01,-0.34,0.160,1.05,-0.10,-3.49,0.160,1.05,0.00,-1.68,0.160,1.01,-0.29,-5.45,0.160,1.11,-0.31,-5.25,0.160,1.06,-0.38,-8.05,0.160,1.02,-0.06,-2.11,0.160,0.98,-0.52,-2.99,0.160,1.00,-0.37,-3.99,0.160,0.93,-0.08,-0.92
0.180,1.11,-0.02,-0.50,0.180,1.05,-0.18,-4.64,0.180,1.05,-0.05,-3.19,0.180,1.01,-0.41,-6.71,0.180,1.11,-0.42,-5.75,0.180,1.05,-0.53,-6.63,0.180,1.01,-0.11,-3.12,0.180,0.96,-0.57,-3.06,0.180,1.00,-0.44,-3.11,0.180,0.93,-0.08,-1.18
